transition_id,from_state,to_state,command_intent,preconditions,actor_authority,validation_gates,side_effects,audit_event,snapshot_effect,rollback_allowed,idempotency_expectation,shared_or_specialization
T001,DRAFT,READY_FOR_SIGNATURE,MarkReady,status=DRAFT;not_archived;version_current,E* cleared;mandatory locales CURRENT;no blocking REVIEW_REQUIRED without waiver;L001-L006;L013;L014,mark_ready_capability;org_scope,write_lock_engaged;editorial_substate cleared,DOCUMENT_READY_FOR_SIGNATURE,baseline unchanged;version unchanged,no,yes_same_state_noop,shared
T002,READY_FOR_SIGNATURE,DRAFT,ReturnToDraft,status=READY;not_archived;return_policy_allows,L001-L004;L013;L014;return_to_draft_capability,write_lock_released;limited_metadata_editable,DOCUMENT_RETURNED_TO_DRAFT,baseline editable restored,yes_prior_ready_state,yes_same_state_noop,shared
T003,READY_FOR_SIGNATURE,SIGNED,SignDocument,status=READY;not_archived;signer_present,L001-L008;L012;L013;L014;L015;sign_capability,signed_snapshot_created;signer_snapshot;locale_freeze;version_pinned,DOCUMENT_SIGNED;SIGNED_SNAPSHOT_CREATED,immutable_signed_snapshot,no,no_repeat_sign,shared
T004,SIGNED,REGISTERED,RegisterDocument,status=SIGNED;not_archived;registration_metadata_valid,L001-L004;L009;L013;L014;register_capability,registration_number_assigned;registration_date_set;journal_official,DOCUMENT_REGISTERED;REGISTRATION_NUMBER_ASSIGNED,registration_metadata_appended,no,no_double_number,shared
T005,DRAFT,VOIDED,CancelDocument,status=DRAFT;not_archived;void_reason;void_kind=CANCEL,L001;L004;L010;L011;L013;L014;cancel_capability,void_kind=CANCEL;items_voided_if_policy;no_signed_snapshot,DOCUMENT_VOIDED;DOCUMENT_CANCELLED,void_metadata;baseline retained,no,yes_already_voided_error,shared
T006,READY_FOR_SIGNATURE,VOIDED,CancelDocument,status=READY;not_archived;void_reason;void_kind=CANCEL,L001;L004;L010;L011;L013;L014;cancel_capability,void_kind=CANCEL;items_voided_if_policy,DOCUMENT_VOIDED;DOCUMENT_CANCELLED,void_metadata,no,yes_already_voided_error,shared
T007,SIGNED,VOIDED,AnnulDocument,status=SIGNED;not_archived;void_reason;void_kind=ANNUL,L001;L004;L010;L011;L013;L014;annul_capability,void_kind=ANNUL;signed_snapshot_preserved;compensating_hint,DOCUMENT_VOIDED;DOCUMENT_ANNULLED,void_metadata;signed_snapshot_immutable,no,yes_already_voided_error,shared
T008,REGISTERED,VOIDED,AnnulDocument,status=REGISTERED;not_archived;void_reason;void_kind=ANNUL,L001;L004;L010;L011;L013;L014;annul_capability,void_kind=ANNUL;registration_number_retained;projection_void_if_exists,DOCUMENT_VOIDED;DOCUMENT_ANNULLED,void_metadata;registration_immutable,no,yes_already_voided_error,shared
T009,*,ARCHIVED,ArchiveDocument,lifecycle in archivable_set;not_already_archived;archive_reason,L001;L004;L013;archive_capability,archived_at_set;mutations_blocked,DOCUMENT_ARCHIVED,no_snapshot_change,restore_only,yes_already_archived_error,shared
T010,ARCHIVED,ACTIVE,RestoreDocument,archived=true;restore_policy,L001;L004;restore_capability,archived_at_cleared,DOCUMENT_RESTORED,no_snapshot_change,no,yes_not_archived_error,shared
T011,SIGNED,REGISTERED,RegisterDocument_skip_sign,PO_adapter_only: register from READY sets SIGNED or REGISTERED directly,specialization shortcut,personnel_register_capability,combined sign+register semantics in adapter,DOCUMENT_REGISTERED,specialization,specialization
